Title20,Title,Country,SCIE,SSCI,AHCI,ESCI
ACCOUNT ECON LAW,ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,GERMANY,,,,X
ACCOUNT EDUC,ACCOUNTING EDUCATION,ENGLAND,,,,X
ACCOUNT EUR,ACCOUNTING IN EUROPE,ENGLAND,,,,X
ACCOUNT FINANC,ACCOUNTING AND FINANCE,AUSTRALIA,,X,,
ACCOUNT FORUM,ACCOUNTING FORUM,ENGLAND,,X,,
ACCOUNT HIST,ACCOUNTING HISTORY,NETHERLANDS,,,,X
ACCOUNT HIST J,ACCOUNTING HISTORIANS JOURNAL,UNITED STATES,,,,X
ACCOUNT HIST REV,ACCOUNTING HISTORY REVIEW,UNITED STATES,,,,X
ACCOUNT HORIZ,ACCOUNTING HORIZONS,UNITED STATES,,X,,
ACCOUNT ORG SOC,ACCOUNTING ORGANIZATIONS AND SOCIETY,ENGLAND,,X,,
ACCOUNT PERSPECT,ACCOUNTING PERSPECTIVES,UNITED STATES,,,,X
ACCOUNT RES,ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,UNITED STATES,X,,,
ACCOUNT RES J,ACCOUNTING RESEARCH JOURNAL,ENGLAND,,,,X
ACCOUNT REV,ACCOUNTING REVIEW,UNITED STATES,,X,,
ACCOUNTS CHEM RES,ACCOUNTS OF CHEMICAL RESEARCH,UNITED STATES,X,,,
ACCOUNTS MATER RES,ACCOUNTS OF MATERIALS RESEARCH,PEOPLES R CHINA,,,,X
ACCREDIT QUAL ASSUR,ACCREDITATION AND QUALITY ASSURANCE,GERMANY,X,,,
ACE-ARCHIT CITY ENVI,ACE-ARCHITECTURE CITY AND ENVIRONMENT,SPAIN,,,,X
ACERVO-BRAZIL,ACERVO,BRAZIL,,,,X
ACG CASE REP J,ACG CASE REPORTS JOURNAL,UNITED STATES,,,,X
ACI MATER J,ACI MATERIALS JOURNAL,UNITED STATES,X,,,
ACI STRUCT J,ACI STRUCTURAL JOURNAL,UNITED STATES,X,,,
ACM COMMUN COMPUT AL,ACM COMMUNICATIONS IN COMPUTER ALGEBRA,UNITED STATES,,,,X
ACM COMPUT SURV,ACM COMPUTING SURVEYS,UNITED STATES,X,,,
ACM J COMPUT CULT HE,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,UNITED STATES,X,,X,
ACM J DATA INF QUAL,ACM JOURNAL OF DATA AND INFORMATION QUALITY,UNITED STATES,,,,X
ACM J EMERG TECH COM,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,UNITED STATES,X,,,
ACM SIGCOMM COMP COM,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,UNITED STATES,X,,,
ACM SIGECOM EXCH,ACM SIGECOM EXCHANGES,UNITED STATES,,,,X
ACM T ACCESS COMPUT,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,UNITED STATES,,,,X
ACM T ALGORITHMS,ACM TRANSACTIONS ON ALGORITHMS,UNITED STATES,X,,,
ACM T APPL PERCEPT,ACM TRANSACTIONS ON APPLIED PERCEPTION,UNITED STATES,X,,,
ACM T ARCHIT CODE OP,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,UNITED STATES,X,,,
ACM T ASIAN LOW-RESO,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,UNITED STATES,X,,,
ACM T AUTON ADAP SYS,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,UNITED STATES,X,,,
ACM T COMPUT EDUC,ACM TRANSACTIONS ON COMPUTING EDUCATION,UNITED STATES,X,,,
ACM T COMPUT HEALTHC,ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE,UNITED STATES,,,,X
ACM T COMPUT LOG,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,UNITED STATES,X,,,
ACM T COMPUT SYST,ACM TRANSACTIONS ON COMPUTER SYSTEMS,UNITED STATES,X,,,
ACM T COMPUT THEORY,ACM TRANSACTIONS ON COMPUTATION THEORY,UNITED STATES,,,,X
ACM T COMPUT-HUM INT,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,UNITED STATES,X,,,
ACM T DATABASE SYST,ACM TRANSACTIONS ON DATABASE SYSTEMS,UNITED STATES,X,,,
ACM T DES AUTOMAT EL,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,UNITED STATES,X,,,
ACM T ECON COMPUT,ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,UNITED STATES,,,,X
ACM T EMBED COMPUT S,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,UNITED STATES,X,,,
ACM T GRAPHIC,ACM TRANSACTIONS ON GRAPHICS,UNITED STATES,X,,,
ACM T HUM-ROBOT INTE,ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,UNITED STATES,,,,X
ACM T INFORM SYST,ACM TRANSACTIONS ON INFORMATION SYSTEMS,UNITED STATES,X,,,
ACM T INTEL SYST TEC,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,UNITED STATES,X,,,
ACM T INTERACT INTEL,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,UNITED STATES,X,,,
ACM T INTERNET TECHN,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,UNITED STATES,X,,,
ACM T INTERNET THING,ACM TRANSACTIONS ON INTERNET OF THINGS,UNITED STATES,,,,X
ACM T KNOWL DISCOV D,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,UNITED STATES,X,,,
ACM T MATH SOFTWARE,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,UNITED STATES,X,,,
ACM T MODEL COMPUT S,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,UNITED STATES,X,,,
ACM T MULTIM COMPUT,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,UNITED STATES,X,,,
ACM T PRIV SECUR,ACM TRANSACTIONS ON PRIVACY AND SECURITY,UNITED STATES,X,,,
ACM T PROGR LANG SYS,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,UNITED STATES,X,,,
ACM T QUANTUM COMPUT,ACM TRANSACTIONS ON QUANTUM COMPUTING,UNITED STATES,,,,X
ACM T RECONFIG TECHN,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,UNITED STATES,X,,,
ACM T SENSOR NETWORK,ACM TRANSACTIONS ON SENSOR NETWORKS,UNITED STATES,X,,,
ACM T SOFTW ENG METH,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,UNITED STATES,X,,,
ACM T STORAGE,ACM TRANSACTIONS ON STORAGE,UNITED STATES,X,,,
ACM T WEB,ACM TRANSACTIONS ON THE WEB,UNITED STATES,X,,,
ACM TRANS CYBER-PHYS,ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,UNITED STATES,,,,X
ACM TRANS MANAG INF,ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,UNITED STATES,,,,X
ACM TRANS MODELING P,ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,UNITED STATES,,,,X
ACM TRANS PARALLEL C,ACM TRANSACTIONS ON PARALLEL COMPUTING,UNITED STATES,,,,X
ACM TRANS SPAT ALGOR,ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS,UNITED STATES,,,,X
ACME-ANN FAC STUDI U,ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,ITALY,,,,X
ACOUST AUST,ACOUSTICS AUSTRALIA,AUSTRALIA,X,,,
ACOUST PHYS+,ACOUSTICAL PHYSICS,RUSSIA,X,,,
ACOUST SCI TECHNOL,ACOUSTICAL SCIENCE AND TECHNOLOGY,JAPAN,,,,X
ACOUSTICS-BASEL,ACOUSTICS,SWITZERLAND,,,,X
ACQUE SOTTER,ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,ITALY,,,,X
ACR OPEN RHEUMATOL,ACR OPEN RHEUMATOLOGY,UNITED STATES,,,,X
ACROSS LANG CULT,ACROSS LANGUAGES AND CULTURES,HUNGARY,,X,X,
ACS AGR SCI TECHNOL,ACS AGRICULTURAL SCIENCE & TECHNOLOGY,UNITED STATES,,,,X
ACS APPL BIO MATER,ACS APPLIED BIO MATERIALS,UNITED STATES,,,,X
ACS APPL ELECTRON MA,ACS APPLIED ELECTRONIC MATERIALS,UNITED STATES,X,,,
ACS APPL ENERG MATER,ACS APPLIED ENERGY MATERIALS,UNITED STATES,X,,,
ACS APPL ENG MATER,ACS APPLIED ENGINEERING MATERIALS,UNITED STATES,,,,X
ACS APPL MATER INTER,ACS APPLIED MATERIALS & INTERFACES,UNITED STATES,X,,,
ACS APPL NANO MATER,ACS APPLIED NANO MATERIALS,UNITED STATES,X,,,
ACS APPL OPT MATER,ACS APPLIED OPTICAL MATERIALS,UNITED STATES,,,,X
ACS APPL POLYM MATER,ACS APPLIED POLYMER MATERIALS,UNITED STATES,X,,,
ACS BIO MED CHEM AU,ACS BIO & MED CHEM AU,UNITED STATES,,,,X
ACS BIOMATER SCI ENG,ACS BIOMATERIALS SCIENCE & ENGINEERING,UNITED STATES,X,,,
ACS CATAL,ACS CATALYSIS,UNITED STATES,X,,,
ACS CENTRAL SCI,ACS CENTRAL SCIENCE,UNITED STATES,X,,,
ACS CHEM BIOL,ACS CHEMICAL BIOLOGY,UNITED STATES,X,,,
ACS CHEM HEALTH SAFE,ACS CHEMICAL HEALTH & SAFETY,UNITED STATES,,,,X
ACS CHEM NEUROSCI,ACS CHEMICAL NEUROSCIENCE,UNITED STATES,X,,,
ACS EARTH SPACE CHEM,ACS EARTH AND SPACE CHEMISTRY,UNITED STATES,X,,,
ACS ENERGY LETT,ACS ENERGY LETTERS,UNITED STATES,X,,,
ACS ENG AU,ACS ENGINEERING AU,UNITED STATES,,,,X
ACS ENVIRON AU,ACS ENVIRONMENTAL AU,UNITED STATES,,,,X
ACS EST ENG,ACS ES&T ENGINEERING,UNITED STATES,,,,X
ACS EST WATER,ACS ES&T WATER,UNITED STATES,,,,X
ACS FOOD SCI TECHNOL,ACS FOOD SCIENCE & TECHNOLOGY,UNITED STATES,,,,X
ACS INFECT DIS,ACS INFECTIOUS DISEASES,UNITED STATES,X,,,
ACS MACRO LETT,ACS MACRO LETTERS,UNITED STATES,X,,,
ACS MATER AU,ACS MATERIALS AU,UNITED STATES,,,,X
ACS MATER LETT,ACS MATERIALS LETTERS,UNITED STATES,X,,,
ACS MEAS SCI AU,ACS MEASUREMENT SCIENCE AU,UNITED STATES,,,,X
ACS MED CHEM LETT,ACS MEDICINAL CHEMISTRY LETTERS,UNITED STATES,X,,,
ACS NANO,ACS NANO,UNITED STATES,X,,,
ACS NANOSCI AU,ACS NANOSCIENCE AU,UNITED STATES,,,,X
ACS OMEGA,ACS OMEGA,UNITED STATES,X,,,
ACS ORG INORG AU,ACS ORGANIC & INORGANIC AU,UNITED STATES,,,,X
ACS PHARMACOL TRANSL,ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE,UNITED STATES,,,,X
ACS PHOTONICS,ACS PHOTONICS,UNITED STATES,X,,,
ACS PHYS CHEM AU,ACS PHYSICAL CHEMISTRY AU,UNITED STATES,,,,X
ACS POLYM AU,ACS POLYMERS AU,UNITED STATES,,,,X
ACS SENSORS,ACS SENSORS,UNITED STATES,X,,,
ACS SUSTAIN CHEM ENG,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,UNITED STATES,X,,,
ACS SYNTH BIOL,ACS SYNTHETIC BIOLOGY,UNITED STATES,X,,,
ACSMS HEALTH FIT J,ACSMS HEALTH & FITNESS JOURNAL,UNITED STATES,X,,,
ACT ADAPT AGING,ACTIVITIES ADAPTATION & AGING,UNITED STATES,,,,X
ACT LEARN HIGH EDUC,ACTIVE LEARNING IN HIGHER EDUCATION,UNITED STATES,,X,,
ACT NERV SUPER REDIV,ACTIVITAS NERVOSA SUPERIOR REDIVIVA,SLOVAKIA,,,,X
ACT PASSIV ELECTRON,ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,UNITED STATES,,,,X
ACTA ACUST,ACTA ACUSTICA,FRANCE,X,,,
ACTA ADRIAT,ACTA ADRIATICA,CROATIA,X,,,
ACTA AGR SCAND A-AN,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,NORWAY,X,,,
ACTA AGR SCAND B-S P,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,NORWAY,X,,,
ACTA AGROBOT,ACTA AGROBOTANICA,POLAND,,,,X
ACTA ALIMENT HUNG,ACTA ALIMENTARIA,HUNGARY,X,,,
ACTA AMAZON,ACTA AMAZONICA,BRAZIL,X,,,
ACTA ANAESTH BELG,ACTA ANAESTHESIOLOGICA BELGICA,BELGIUM,,,,X
ACTA ANAESTH SCAND,ACTA ANAESTHESIOLOGICA SCANDINAVICA,DENMARK,X,,,
ACTA ANAL,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,NETHERLANDS,,,X,
ACTA ANGIOL,ACTA ANGIOLOGICA,POLAND,,,,X
ACTA APPL MATH,ACTA APPLICANDAE MATHEMATICAE,NETHERLANDS,X,,,
ACTA ARCHAEOL-DEN,ACTA ARCHAEOLOGICA,UNITED STATES,,,X,
ACTA ARITH,ACTA ARITHMETICA,POLAND,X,,,
ACTA ASTRONAUT,ACTA ASTRONAUTICA,UNITED STATES,X,,,
ACTA ASTRONOM,ACTA ASTRONOMICA,POLAND,X,,,
ACTA BALNEOL,ACTA BALNEOLOGICA,POLAND,,,,X
ACTA BALTICO-SLAV,ACTA BALTICO-SLAVICA,POLAND,,,,X
ACTA BIOCH BIOPH SIN,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,PEOPLES R CHINA,X,,,
ACTA BIOCHIM POL,ACTA BIOCHIMICA POLONICA,POLAND,X,,,
ACTA BIOCLINICA,ACTA BIOCLINICA,VENEZUELA,,,,X
ACTA BIOENG BIOMECH,ACTA OF BIOENGINEERING AND BIOMECHANICS,POLAND,X,,,
ACTA BIOETH,ACTA BIOETHICA,CHILE,X,X,,
ACTA BIOL COLOMB,ACTA BIOLOGICA COLOMBIANA,COLOMBIA,X,,,
ACTA BIOL CRACOV BOT,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,POLAND,X,,,
ACTA BIOMATER,ACTA BIOMATERIALIA,ENGLAND,X,,,
ACTA BIOQUIM CLIN L,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ARGENTINA,X,,,
ACTA BIOTHEOR,ACTA BIOTHEORETICA,NETHERLANDS,X,,,
ACTA BOREAL,ACTA BOREALIA,ENGLAND,,,X,
ACTA BOT BRAS,ACTA BOTANICA BRASILICA,BRAZIL,X,,,
ACTA BOT CROAT,ACTA BOTANICA CROATICA,CROATIA,X,,,
ACTA BOT MEX,ACTA BOTANICA MEXICANA,MEXICO,X,,,
ACTA BRAS,ACTA BRASILIENSIS,BRAZIL,,,,X
ACTA CARDIOL,ACTA CARDIOLOGICA,BELGIUM,X,,,
ACTA CARDIOL SIN,ACTA CARDIOLOGICA SINICA,TAIWAN,X,,,
ACTA CARSOLOGICA,ACTA CARSOLOGICA,SLOVENIA,X,,,
ACTA CHEM IASI,ACTA CHEMICA IASI,POLAND,,,,X
ACTA CHIM SINICA,ACTA CHIMICA SINICA,PEOPLES R CHINA,X,,,
ACTA CHIM SLOV,ACTA CHIMICA SLOVENICA,SLOVENIA,X,,,
ACTA CHIM SLOVACA,ACTA CHIMICA SLOVACA,SLOVAKIA,,,,X
ACTA CHIR BELG,ACTA CHIRURGICA BELGICA,ENGLAND,X,,,
ACTA CHIR ORTHOP TR,ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,CZECH REPUBLIC,X,,,
ACTA CHIROPTEROL,ACTA CHIROPTEROLOGICA,POLAND,X,,,
ACTA CHROMATOGR,ACTA CHROMATOGRAPHICA,POLAND,X,,,
ACTA CIR BRAS,ACTA CIRURGICA BRASILEIRA,BRAZIL,X,,,
ACTA CLASS,ACTA CLASSICA,SOUTH AFRICA,,,X,
ACTA CLIN BELG,ACTA CLINICA BELGICA,ENGLAND,X,,,
ACTA CLIN CROAT,ACTA CLINICA CROATICA,CROATIA,X,,,
ACTA COLOMB PSICOL,ACTA COLOMBIANA DE PSICOLOGIA,COLOMBIA,,,,X
ACTA COMMENT UNIV TA,ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA,ESTONIA,,,,X
ACTA CRYSTALLOGR A,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ENGLAND,X,,,
ACTA CRYSTALLOGR B,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ENGLAND,X,,,
ACTA CRYSTALLOGR C,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ENGLAND,X,,,
ACTA CRYSTALLOGR D,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ENGLAND,X,,,
ACTA CRYSTALLOGR E,ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,ENGLAND,,,,X
ACTA CRYSTALLOGR F,ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,DENMARK,X,,,
ACTA CYBERN,ACTA CYBERNETICA,HUNGARY,,,,X
ACTA CYTOL,ACTA CYTOLOGICA,NEW ZEALAND,X,,,
ACTA DERMATOVEN ALP,ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,SLOVENIA,,,,X
ACTA DERMATOVENER CR,ACTA DERMATOVENEROLOGICA CROATICA,CROATIA,X,,,
ACTA DERM-VENEREOL,ACTA DERMATO-VENEREOLOGICA,NORWAY,X,,,
ACTA DIABETOL,ACTA DIABETOLOGICA,ITALY,X,,,
ACTA ECOL SINICA,ACTA ECOLOGICA SINICA,PEOPLES R CHINA,,,,X
ACTA ENDOCRINOL-BUCH,ACTA ENDOCRINOLOGICA-BUCHAREST,ROMANIA,X,,,
ACTA ENT MUS NAT PRA,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,CZECH REPUBLIC,X,,,
ACTA EPILEPTOL,ACTA EPILEPTOLOGICA,PEOPLES R CHINA,,,,X
ACTA ETHOL,ACTA ETHOLOGICA,GERMANY,X,,,
ACTA FAC MEDICAE NAI,ACTA FACULTATIS MEDICAE NAISSENSIS,SERBIA,,,,X
ACTA FAC XYLOLOG ZVO,ACTA FACULTATIS XYLOLOGIAE ZVOLEN,SLOVAKIA,,,,X
ACTA GASTRO-ENT BELG,ACTA GASTRO-ENTEROLOGICA BELGICA,BELGIUM,X,,,
ACTA GEOCHIM,ACTA GEOCHIMICA,PEOPLES R CHINA,,,,X
ACTA GEOD GEOPHYS,ACTA GEODAETICA ET GEOPHYSICA,HUNGARY,X,,,
ACTA GEODYN GEOMATER,ACTA GEODYNAMICA ET GEOMATERIALIA,CZECH REPUBLIC,X,,,
ACTA GEOGR SLOV,ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,SLOVENIA,X,,,
ACTA GEOL POL,ACTA GEOLOGICA POLONICA,POLAND,X,,,
ACTA GEOL SIN-ENGL,ACTA GEOLOGICA SINICA-ENGLISH EDITION,PEOPLES R CHINA,X,,,
ACTA GEOPHYS,ACTA GEOPHYSICA,POLAND,X,,,
ACTA GEOTECH,ACTA GEOTECHNICA,GERMANY,X,,,
ACTA GER,ACTA GERMANICA-GERMAN STUDIES IN AFRICA,SOUTH AFRICA,,,,X
ACTA GYMNICA,ACTA GYMNICA,CZECH REPUBLIC,,,,X
ACTA HAEMATOL-BASEL,ACTA HAEMATOLOGICA,SWITZERLAND,X,,,
ACTA HERPETOL,ACTA HERPETOLOGICA,ITALY,X,,,
ACTA HIST TALLINENSI,ACTA HISTORICA TALLINNENSIA,ESTONIA,,,X,
ACTA HIST U KLAIPDEN,ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS,LITHUANIA,,,,X
ACTA HISTOCHEM,ACTA HISTOCHEMICA,GERMANY,X,,,
ACTA HISTOCHEM CYTOC,ACTA HISTOCHEMICA ET CYTOCHEMICA,JAPAN,X,,,
ACTA HISTRIAE,ACTA HISTRIAE,SLOVENIA,,X,X,
ACTA ICHTHYOL PISCAT,ACTA ICHTHYOLOGICA ET PISCATORIA,BULGARIA,X,,,
ACTA IMEKO,ACTA IMEKO,HUNGARY,,,,X
ACTA INFOLOGICA,ACTA INFOLOGICA,TURKIYE,,,,X
ACTA INFORM,ACTA INFORMATICA,GERMANY,X,,,
ACTA INFORM PRAG,ACTA INFORMATICA PRAGENSIA,CZECH REPUBLIC,,,,X
ACTA KINESIOL,ACTA KINESIOLOGICA,BOSNIA & HERCEG,,,,X
ACTA KOREANA,ACTA KOREANA,SOUTH KOREA,,,X,
ACTA LINGUIST ACAD,ACTA LINGUISTICA ACADEMICA,HUNGARY,,X,X,
ACTA LIT,ACTA LITERARIA,CHILE,,,X,
ACTA LOGISTICA,ACTA LOGISTICA,SLOVAKIA,,,,X
ACTA MATER,ACTA MATERIALIA,UNITED STATES,X,,,
ACTA MATH APPL SIN-E,ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,PEOPLES R CHINA,X,,,
ACTA MATH HUNG,ACTA MATHEMATICA HUNGARICA,HUNGARY,X,,,
ACTA MATH SCI,ACTA MATHEMATICA SCIENTIA,PEOPLES R CHINA,X,,,
ACTA MATH SIN,ACTA MATHEMATICA SINICA-ENGLISH SERIES,PEOPLES R CHINA,X,,,
