title,url,issn,eissn,publisher,language,country,oa_type,positioning,partition,source,source_url,page,fetched_at
ADVANCES IN CLIMATE CHANGE RESEARCH,https://www.oaj.com.cn/Journal/advances-in-climate-change-research,1674-9278,2524-1761,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCES IN GEO-ENERGY RESEARCH,https://www.oaj.com.cn/Journal/advances-in-geo-energy-research,2207-9963,2208-598X,Yandy Scientific Press,English,"Hong Kong, China",Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCES IN CONTINUOUS AND DISCRETE MODELS,https://www.oaj.com.cn/Journal/advances-in-continuous-and-discrete-models,,2731-4235,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCES IN CIVIL ENGINEERING,https://www.oaj.com.cn/Journal/advances-in-civil-engineering,1687-8086,1687-8094,Wiley,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCED INTELLIGENT SYSTEMS,https://www.oaj.com.cn/Journal/advanced-intelligent-systems,,2640-4567,Wiley-VCH,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCED MATERIALS INTERFACES,https://www.oaj.com.cn/Journal/advanced-materials-interfaces,,2196-7350,Wiley-VCH,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADVANCED ELECTRONIC MATERIALS,https://www.oaj.com.cn/Journal/advanced-electronic-materials,,2199-160X,Wiley-VCH,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
ADIPOCYTE,https://www.oaj.com.cn/Journal/adipocyte,,2162-397X,Taylor & Francis,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
Advances in Aerodynamics,https://www.oaj.com.cn/Journal/advances-in-aerodynamics,2097-3462,2524-6992,Springer Nature Singapore,English,Singapore,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
Advances in Applied Energy,https://www.oaj.com.cn/Journal/advances-in-applied-energy,2666-7924,2666-7924,Elsevier,English,United Kingdom,Gold OA,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,2,2026-05-21T07:21:51+00:00
AGRICULTURAL AND FOOD ECONOMICS,https://www.oaj.com.cn/Journal/agricultural-and-food-economics,,2193-7532,Springer,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AFRICA SPECTRUM,https://www.oaj.com.cn/Journal/africa-spectrum,0002-0397,1868-6869,Sage,English,USA,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,https://www.oaj.com.cn/Journal/advances-in-methods-and-practices-in-psychological-science,2515-2459,2515-2467,Sage,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AERA OPEN,https://www.oaj.com.cn/Journal/aera-open,2332-8584,2332-8584,Sage,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
ADVANCES IN NUTRITION,https://www.oaj.com.cn/Journal/advances-in-nutrition,2161-8313,2156-5376,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
ALLERGOLOGY INTERNATIONAL,https://www.oaj.com.cn/Journal/allergology-international,1323-8930,1440-1592,Elsevier,English,Japan,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AGRICULTURAL WATER MANAGEMENT,https://www.oaj.com.cn/Journal/agricultural-water-management,0378-3774,1873-2283,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AIN SHAMS ENGINEERING JOURNAL,https://www.oaj.com.cn/Journal/ain-shams-engineering-journal,2090-4479,2090-4495,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AGING CELL,https://www.oaj.com.cn/Journal/aging-cell,1474-9718,1474-9726,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AGU ADVANCES,https://www.oaj.com.cn/Journal/agu-advances,,2576-604X,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,3,2026-05-21T07:21:51+00:00
AMERICAN JOURNAL OF CANCER RESEARCH,https://www.oaj.com.cn/Journal/american-journal-of-cancer-research,2156-6976,,e-Century Publishing Corporation,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ANIMAL BIOTELEMETRY,https://www.oaj.com.cn/Journal/animal-biotelemetry,,2050-3385,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ALZHEIMERS RESEARCH & THERAPY,https://www.oaj.com.cn/Journal/alzheimers-research-therapy,,1758-9193,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
AMB EXPRESS,https://www.oaj.com.cn/Journal/amb-express,,2191-0855,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ANIMAL COGNITION,https://www.oaj.com.cn/Journal/animal-cognition,,1435-9456,Springer,English,Germany,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION,https://www.oaj.com.cn/Journal/altex-alternatives-to-animal-experimentation,,1868-8551,Springer Spektrum,Multi-Language,Germany,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ANIMAL,https://www.oaj.com.cn/Journal/animal,1751-7311,1751-732X,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ALZHEIMER'S & DEMENTIA,https://www.oaj.com.cn/Journal/alzheimer-s-dementia,1552-5260,1552-5279,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ANIMAL BIOTECHNOLOGY,https://www.oaj.com.cn/Journal/animal-biotechnology,,1532-2378,Taylor & Francis,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
Anesthesiology and Perioperative Science,https://www.oaj.com.cn/Journal/anesthesiology-and-perioperative-science,,2731-8389,Springer Nature Singapore,English,Singapore,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,4,2026-05-21T07:21:51+00:00
ANIMAL NUTRITION,https://www.oaj.com.cn/Journal/animal-nutrition,2405-6545,2405-6383,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANNALS OF FOREST SCIENCE,https://www.oaj.com.cn/Journal/annals-of-forest-science,,1297-966X,BioMed Central,Multi-Language,FRANCE,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,https://www.oaj.com.cn/Journal/applied-microbiology-and-biotechnology,,1432-0614,Springer,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS,https://www.oaj.com.cn/Journal/annals-of-clinical-microbiology-and-antimicrobials,,1476-0711,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL,https://www.oaj.com.cn/Journal/antimicrobial-resistance-and-infection-control,,2047-2994,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANNALS OF INTENSIVE CARE,https://www.oaj.com.cn/Journal/annals-of-intensive-care,,2110-5820,Elsevier,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANIMAL WELFARE,https://www.oaj.com.cn/Journal/animal-welfare,,2054-1538,Cambridge University Press,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY,https://www.oaj.com.cn/Journal/annals-of-clinical-and-translational-neurology,,2328-9503,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
Applied and Environmental Microbiology,https://www.oaj.com.cn/Journal/applied-and-environmental-microbiology,0099-2240,1098-5336,American Society for Microbiology,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
Antimicrobial Agents and Chemotherapy,https://www.oaj.com.cn/Journal/antimicrobial-agents-and-chemotherapy,0066-4804,1098-6596,American Society for Microbiology,English,USA,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,5,2026-05-21T07:21:51+00:00
ARCHIVES OF PUBLIC HEALTH,https://www.oaj.com.cn/Journal/archives-of-public-health,,2049-3258,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
ARTHRITIS RESEARCH & THERAPY,https://www.oaj.com.cn/Journal/arthritis-research-therapy,,1478-6362,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
ARTIFICIAL INTELLIGENCE REVIEW,https://www.oaj.com.cn/Journal/artificial-intelligence-review,0269-2821,1573-7462,Springer,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
APPLIED PSYCHOLINGUISTICS,https://www.oaj.com.cn/Journal/applied-psycholinguistics,0142-7164,1469-1817,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
AQUACULTURE REPORTS,https://www.oaj.com.cn/Journal/aquaculture-reports,2352-5134,2352-5134,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
ASIA & THE PACIFIC POLICY STUDIES,https://www.oaj.com.cn/Journal/asia-the-pacific-policy-studies,,2050-2680,Wiley,English,USA,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
AQUACULTURE NUTRITION,https://www.oaj.com.cn/Journal/aquaculture-nutrition,1353-5773,1365-2095,Wiley,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
"ARTIFICIAL CELLS, NANOMEDICINE, AND BIOTECHNOLOGY",https://www.oaj.com.cn/Journal/artificial-cells-nanomedicine-and-biotechnology,,2169-141X,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
Artificial Intelligence in Agriculture,https://www.oaj.com.cn/Journal/artificial-intelligence-in-agriculture,2097-2113,2589-7217,"KeAi Communications Co., Ltd.",English,,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
Asia-Pacific Journal of Ophthalmology,https://www.oaj.com.cn/Journal/asia-pacific-journal-of-ophthalmology,2162-0989,2162-0989,Elsevier,English,,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,6,2026-05-21T07:21:51+00:00
AVIAN RESEARCH,https://www.oaj.com.cn/Journal/avian-research,2055-6187,2053-7166,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
BEHAVIORAL AND BRAIN FUNCTIONS,https://www.oaj.com.cn/Journal/behavioral-and-brain-functions,,1744-9081,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
BILINGUALISM-LANGUAGE AND COGNITION,https://www.oaj.com.cn/Journal/bilingualism-language-and-cognition,1366-7289,1469-1841,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
BIG DATA & SOCIETY,https://www.oaj.com.cn/Journal/big-data-society,2053-9517,2053-9517,Sage,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
BASIC AND APPLIED ECOLOGY,https://www.oaj.com.cn/Journal/basic-and-applied-ecology,1439-1791,1618-0089,Elsevier,English,Germany,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
Astronomical Techniques and Instruments,https://www.oaj.com.cn/Journal/astronomical-techniques-and-instruments,2097-3675,,Editorial Office of Astronomical Techniques and Instruments,English,China,Diamond/Platinum OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
Big Data Mining and Analytics,https://www.oaj.com.cn/Journal/big-data-mining-and-analytics,2096-0654,2097-406X,Tsinghua University Press,English,China,钻石OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,https://www.oaj.com.cn/Journal/australian-journal-of-grape-and-wine-research,1322-7130,1755-0238,Wiley,English,USA,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
ATMOSPHERIC SCIENCE LETTERS,https://www.oaj.com.cn/Journal/atmospheric-science-letters,,1530-261X,Wiley,English,USA,Gold OA,Frontier Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
Atmospheric Environment: X,https://www.oaj.com.cn/Journal/atmospheric-environment-x,,2590-1621,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,7,2026-05-21T07:21:51+00:00
BIOACTIVE MATERIALS,https://www.oaj.com.cn/Journal/bioactive-materials,2097-1192,2452-199X,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOLOGY OF SEX DIFFERENCES,https://www.oaj.com.cn/Journal/biology-of-sex-differences,,2042-6410,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOLOGY DIRECT,https://www.oaj.com.cn/Journal/biology-direct,,1745-6150,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOMARKER RESEARCH,https://www.oaj.com.cn/Journal/biomarker-research,,2050-7771,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOLOGICAL RESEARCH,https://www.oaj.com.cn/Journal/biological-research,,0717-6287,BioMed Central,English,Chile,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOCHAR,https://www.oaj.com.cn/Journal/biochar,,2524-7867,Springer,English,Singapore,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOGEOCHEMISTRY,https://www.oaj.com.cn/Journal/biogeochemistry,0168-2563,1573-515X,Springer,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOLOGICAL CONTROL,https://www.oaj.com.cn/Journal/biological-control,1049-9644,1090-2112,Elsevier,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BIOENGINEERING & TRANSLATIONAL MEDICINE,https://www.oaj.com.cn/Journal/bioengineering-translational-medicine,,2380-6761,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
Biofilm,https://www.oaj.com.cn/Journal/biofilm,2590-2075,2590-2075,Elsevier,English,Netherlands,Gold OA,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,8,2026-05-21T07:21:51+00:00
BMC CANCER,https://www.oaj.com.cn/Journal/bmc-cancer,,1471-2407,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BMC BIOINFORMATICS,https://www.oaj.com.cn/Journal/bmc-bioinformatics,,1471-2105,BioMed Central,English,United Kingdom,,Sound Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BMC BIOLOGY,https://www.oaj.com.cn/Journal/bmc-biology,,1741-7007,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BIOTECHNOLOGY FOR BIOFUELS AND BIOPRODUCTS,https://www.oaj.com.cn/Journal/biotechnology-for-biofuels-and-bioproducts,,2731-3654,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BMC BIOTECHNOLOGY,https://www.oaj.com.cn/Journal/bmc-biotechnology,,1472-6750,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BLOOD CANCER JOURNAL,https://www.oaj.com.cn/Journal/blood-cancer-journal,,2044-5385,Springer Nature,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BIOMEDICINES,https://www.oaj.com.cn/Journal/biomedicines,,2227-9059,MDPI,English,Switzerland,Gold OA,Sound Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BLOOD ADVANCES,https://www.oaj.com.cn/Journal/blood-advances,2473-9529,2473-9537,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
Biosafety and Health,https://www.oaj.com.cn/Journal/biosafety-and-health,2096-6962,2590-0536,Elsevier,English,Netherlands,Gold OA,,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
Biomimetic Intelligence and Robotics,https://www.oaj.com.cn/Journal/biomimetic-intelligence-and-robotics,2097-0242,2667-3797,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,9,2026-05-21T07:21:51+00:00
BMC ECOLOGY AND EVOLUTION,https://www.oaj.com.cn/Journal/bmc-ecology-and-evolution,,2730-7182,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC COMPLEMENTARY MEDICINE AND THERAPIES,https://www.oaj.com.cn/Journal/bmc-complementary-medicine-and-therapies,,2662-7671,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC CARDIOVASCULAR DISORDERS,https://www.oaj.com.cn/Journal/bmc-cardiovascular-disorders,,1471-2261,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC MEDICAL EDUCATION,https://www.oaj.com.cn/Journal/bmc-medical-education,,1472-6920,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC ENDOCRINE DISORDERS,https://www.oaj.com.cn/Journal/bmc-endocrine-disorders,,1472-6823,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC GENOMIC DATA,https://www.oaj.com.cn/Journal/bmc-genomic-data,,2730-6844,BioMed Central,English,United Kingdom,,Sound Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC MEDICAL ETHICS,https://www.oaj.com.cn/Journal/bmc-medical-ethics,,1472-6939,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC GERIATRICS,https://www.oaj.com.cn/Journal/bmc-geriatrics,,1471-2318,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC HEALTH SERVICES RESEARCH,https://www.oaj.com.cn/Journal/bmc-health-services-research,,1472-6963,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC GENOMICS,https://www.oaj.com.cn/Journal/bmc-genomics,,1471-2164,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,10,2026-05-21T07:21:51+00:00
BMC ORAL HEALTH,https://www.oaj.com.cn/Journal/bmc-oral-health,,1472-6831,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,11,2026-05-21T07:21:51+00:00
BMC PALLIATIVE CARE,https://www.oaj.com.cn/Journal/bmc-palliative-care,,1472-684X,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,11,2026-05-21T07:21:51+00:00
BMC NURSING,https://www.oaj.com.cn/Journal/bmc-nursing,,1472-6955,BioMed Central,English,United Kingdom,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,11,2026-05-21T07:21:51+00:00
