title,issn,eissn,year,jif,jif_without_self_cites,source_url
ANN INTERN MED,0003-4819,1539-3704,2024,15.2,14.7,https://journalsimpactfactors.com/journal.php?id=259
ANN ONCOL,0923-7534,1569-8041,2024,65.4,64.5,https://journalsimpactfactors.com/journal.php?id=13
ANN RHEUM DIS,0003-4967,1468-2060,2024,20.6,19.9,https://journalsimpactfactors.com/journal.php?id=154
ANNU REV ASTRON ASTR,0066-4146,1545-4282,2024,32.5,32.0,https://journalsimpactfactors.com/journal.php?id=71
ANNU REV BIOCHEM,0066-4154,1545-4509,2024,20.5,20.4,https://journalsimpactfactors.com/journal.php?id=155
ANNU REV BIOPHYS,1936-122X,1936-1238,2024,13.7,13.6,https://journalsimpactfactors.com/journal.php?id=315
ANNU REV CELL DEV BI,1081-0706,1530-8995,2024,11.4,11.4,https://journalsimpactfactors.com/journal.php?id=454
ANNU REV CHEM BIOMOL,1947-5438,1947-5446,2024,12.8,12.7,https://journalsimpactfactors.com/journal.php?id=362
ANNU REV CLIN PSYCHO,1548-5943,1548-5951,2024,16.5,16.3,https://journalsimpactfactors.com/journal.php?id=222
ANNU REV CONDEN MA P,1947-5454,1947-5462,2024,30.7,30.7,https://journalsimpactfactors.com/journal.php?id=79
ANNU REV EARTH PL SC,0084-6597,1545-4495,2024,13.0,12.9,https://journalsimpactfactors.com/journal.php?id=352
ANNU REV ECOL EVOL S,1543-592X,1545-2069,2024,11.4,11.2,https://journalsimpactfactors.com/journal.php?id=455
ANNU REV ECON,1941-1383,1941-1391,2024,11.4,11.4,https://journalsimpactfactors.com/journal.php?id=449
ANNU REV ENTOMOL,0066-4170,1545-4487,2024,16.7,16.6,https://journalsimpactfactors.com/journal.php?id=217
ANNU REV ENV RESOUR,1543-5938,1545-2050,2024,16.0,15.9,https://journalsimpactfactors.com/journal.php?id=239
ANNU REV FLUID MECH,0066-4189,1545-4479,2024,30.2,30.0,https://journalsimpactfactors.com/journal.php?id=80
ANNU REV FOOD SCI T,1941-1413,1941-1421,2024,12.4,12.3,https://journalsimpactfactors.com/journal.php?id=384
ANNU REV IMMUNOL,0732-0582,1545-3278,2024,33.3,33.2,https://journalsimpactfactors.com/journal.php?id=64
ANNU REV MAR SCI,1941-1405,1941-0611,2024,18.9,18.6,https://journalsimpactfactors.com/journal.php?id=179
ANNU REV MED,0066-4219,1545-326X,2024,22.1,22.1,https://journalsimpactfactors.com/journal.php?id=132
ANNU REV NEUROSCI,0147-006X,1545-4126,2024,13.2,13.1,https://journalsimpactfactors.com/journal.php?id=337
ANNU REV NUTR,0199-9885,1545-4312,2024,13.4,13.2,https://journalsimpactfactors.com/journal.php?id=330
ANNU REV ORGAN PSYCH,2327-0608,2327-0616,2024,31.1,30.9,https://journalsimpactfactors.com/journal.php?id=75
ANNU REV PATHOL-MECH,1553-4006,1553-4014,2024,34.5,34.4,https://journalsimpactfactors.com/journal.php?id=61
ANNU REV PHARMACOL,0362-1642,1545-4304,2024,13.1,13.0,https://journalsimpactfactors.com/journal.php?id=343
ANNU REV PHYS CHEM,0066-426X,1545-1593,2024,11.7,11.6,https://journalsimpactfactors.com/journal.php?id=428
ANNU REV PHYSIOL,0066-4278,1545-1585,2024,19.1,19.0,https://journalsimpactfactors.com/journal.php?id=177
ANNU REV PHYTOPATHOL,0066-4286,1545-2107,2024,11.9,11.7,https://journalsimpactfactors.com/journal.php?id=414
ANNU REV PLANT BIOL,1543-5008,1545-2123,2024,26.5,26.3,https://journalsimpactfactors.com/journal.php?id=100
ANNU REV PSYCHOL,0066-4308,1545-2085,2024,29.4,29.2,https://journalsimpactfactors.com/journal.php?id=82
ANNU REV PUBL HEALTH,0163-7525,1545-2093,2024,20.7,20.5,https://journalsimpactfactors.com/journal.php?id=152
APPL CATAL B-ENVIRON,0926-3373,1873-3883,2024,21.1,19.9,https://journalsimpactfactors.com/journal.php?id=146
APPL ENERG,0306-2619,1872-9118,2024,11.0,9.8,https://journalsimpactfactors.com/journal.php?id=481
APPL MECH REV,0003-6900,2379-0407,2024,16.1,16.0,https://journalsimpactfactors.com/journal.php?id=236
APPL PHYS REV,1931-9401,1931-9401,2024,11.6,11.3,https://journalsimpactfactors.com/journal.php?id=439
ARCH COMPUT METHOD E,1134-3060,1886-1784,2024,12.1,11.9,https://journalsimpactfactors.com/journal.php?id=393
ARTIF INTELL AGR,2097-2113,2589-7217,2024,12.4,12.1,https://journalsimpactfactors.com/journal.php?id=382
ARTIF INTELL REV,0269-2821,1573-7462,2024,13.9,13.4,https://journalsimpactfactors.com/journal.php?id=304
ASIAN J PHARM SCI,1818-0876,1818-0876,2024,11.9,11.7,https://journalsimpactfactors.com/journal.php?id=408
ASTRON ASTROPHYS REV,0935-4956,1432-0754,2024,26.5,26.5,https://journalsimpactfactors.com/journal.php?id=99
ASTROPHYS J LETT,2041-8205,2041-8213,2024,11.7,10.8,https://journalsimpactfactors.com/journal.php?id=426
AUTOMAT CONSTR,0926-5805,1872-7891,2024,11.5,9.6,https://journalsimpactfactors.com/journal.php?id=445
AUTOPHAGY,1554-8627,1554-8635,2024,14.3,13.9,https://journalsimpactfactors.com/journal.php?id=294
BEHAV BRAIN SCI,0140-525X,1469-1825,2024,13.7,13.4,https://journalsimpactfactors.com/journal.php?id=312
BIOCHAR,2524-7972,2524-7867,2024,13.5,12.9,https://journalsimpactfactors.com/journal.php?id=322
BIOFUEL RES J,2292-8782,2292-8782,2024,11.9,11.4,https://journalsimpactfactors.com/journal.php?id=412
BIOL REV,1464-7931,1469-185X,2024,11.7,11.4,https://journalsimpactfactors.com/journal.php?id=425
BIOMATERIALS,0142-9612,1878-5905,2024,12.9,12.6,https://journalsimpactfactors.com/journal.php?id=354
BIOTECHNOL ADV,0734-9750,1873-1899,2024,12.5,12.1,https://journalsimpactfactors.com/journal.php?id=376
BLOOD,0006-4971,1528-0020,2024,23.1,22.1,https://journalsimpactfactors.com/journal.php?id=126
BLOOD CANCER DISCOV,2643-3230,2643-3249,2024,11.5,11.3,https://journalsimpactfactors.com/journal.php?id=442
BLOOD CANCER J,2044-5385,2044-5385,2024,11.6,11.0,https://journalsimpactfactors.com/journal.php?id=432
BMEMAT,2751-7438,2751-7446,2024,15.5,15.0,https://journalsimpactfactors.com/journal.php?id=252
BMJ-BRIT MED J,0959-535X,1756-1833,2024,42.7,40.4,https://journalsimpactfactors.com/journal.php?id=36
BONE RES,2095-4700,2095-6231,2024,15.0,14.7,https://journalsimpactfactors.com/journal.php?id=266
BRAIN,0006-8950,1460-2156,2024,11.7,11.4,https://journalsimpactfactors.com/journal.php?id=424
BRIT J SPORT MED,0306-3674,1473-0480,2024,16.2,14.8,https://journalsimpactfactors.com/journal.php?id=231
BUS STRATEG ENVIRON,0964-4733,1099-0836,2024,13.3,11.5,https://journalsimpactfactors.com/journal.php?id=333
CA-CANCER J CLIN,0007-9235,1542-4863,2024,232.4,232.2,https://journalsimpactfactors.com/journal.php?id=1
CAN MED ASSOC J,0820-3946,1488-2329,2024,11.3,11.0,https://journalsimpactfactors.com/journal.php?id=457
CANCER CELL,1535-6108,1878-3686,2024,44.5,43.9,https://journalsimpactfactors.com/journal.php?id=34
CANCER DISCOV,2159-8274,2159-8290,2024,33.3,32.8,https://journalsimpactfactors.com/journal.php?id=63
CANCER RES,0008-5472,1538-7445,2024,16.6,16.5,https://journalsimpactfactors.com/journal.php?id=221
CARBOHYD POLYM,0144-8617,1879-1344,2024,12.5,11.6,https://journalsimpactfactors.com/journal.php?id=373
CARBON,0008-6223,1873-3891,2024,11.6,10.8,https://journalsimpactfactors.com/journal.php?id=437
CARBON NEUTRALITY,2788-8614,2731-3948,2024,12.5,11.9,https://journalsimpactfactors.com/journal.php?id=377
CARBON NEUTRALIZAT,2769-3333,2769-3325,2024,12.0,11.4,https://journalsimpactfactors.com/journal.php?id=403
CARDIOVASC RES,0008-6363,1755-3245,2024,13.3,12.9,https://journalsimpactfactors.com/journal.php?id=334
CELL,0092-8674,1097-4172,2024,42.5,41.9,https://journalsimpactfactors.com/journal.php?id=37
CELL DEATH DIFFER,1350-9047,1476-5403,2024,15.4,15.2,https://journalsimpactfactors.com/journal.php?id=256
CELL HOST MICROBE,1931-3128,1934-6069,2024,18.7,18.3,https://journalsimpactfactors.com/journal.php?id=182
CELL METAB,1550-4131,1932-7420,2024,30.9,30.4,https://journalsimpactfactors.com/journal.php?id=77
CELL MOL IMMUNOL,1672-7681,2042-0226,2024,19.8,19.7,https://journalsimpactfactors.com/journal.php?id=167
CELL RES,1001-0602,1748-7838,2024,25.9,25.7,https://journalsimpactfactors.com/journal.php?id=105
CELL STEM CELL,1934-5909,1875-9777,2024,20.4,19.8,https://journalsimpactfactors.com/journal.php?id=156
CEMENT CONCRETE COMP,0958-9465,1873-393X,2024,13.1,12.0,https://journalsimpactfactors.com/journal.php?id=344
CEMENT CONCRETE RES,0008-8846,1873-3948,2024,13.1,12.0,https://journalsimpactfactors.com/journal.php?id=342
CHEM CATALYSIS,2667-1093,2667-1093,2024,11.6,11.4,https://journalsimpactfactors.com/journal.php?id=440
CHEM ENG J,1385-8947,1873-3212,2024,13.2,11.8,https://journalsimpactfactors.com/journal.php?id=338
CHEM REV,0009-2665,1520-6890,2024,55.8,55.3,https://journalsimpactfactors.com/journal.php?id=20
CHEM SOC REV,0306-0012,1460-4744,2024,39.0,38.6,https://journalsimpactfactors.com/journal.php?id=47
CHEM-US,2451-9294,2451-9294,2024,19.6,19.4,https://journalsimpactfactors.com/journal.php?id=168
CHINESE J CATAL,0253-9837,1872-2067,2024,17.7,16.8,https://journalsimpactfactors.com/journal.php?id=195
CIRC RES,0009-7330,1524-4571,2024,16.2,15.9,https://journalsimpactfactors.com/journal.php?id=232
CIRCULATION,0009-7322,1524-4539,2024,38.6,37.7,https://journalsimpactfactors.com/journal.php?id=48
CLIN GASTROENTEROL H,1542-3565,1542-7714,2024,12.0,11.6,https://journalsimpactfactors.com/journal.php?id=397
CLIN MICROBIOL REV,0893-8512,1098-6618,2024,19.3,19.1,https://journalsimpactfactors.com/journal.php?id=173
CLIN MOL HEPATOL,2287-2728,2287-285X,2024,16.9,15.8,https://journalsimpactfactors.com/journal.php?id=214
CLIN PSYCHOL REV,0272-7358,1873-7811,2024,12.2,12.0,https://journalsimpactfactors.com/journal.php?id=389
CLIN REV ALLERG IMMU,1080-0549,1559-0267,2024,11.3,11.3,https://journalsimpactfactors.com/journal.php?id=460
COMMUN ACM,0001-0782,1557-7317,2024,12.2,12.0,https://journalsimpactfactors.com/journal.php?id=387
COMPOS PART B-ENG,1359-8368,1879-1069,2024,14.2,12.6,https://journalsimpactfactors.com/journal.php?id=296
COMPR REV FOOD SCI F,1541-4337,1541-4337,2024,14.1,13.7,https://journalsimpactfactors.com/journal.php?id=301
COMPUT SCI REV,1574-0137,1876-7745,2024,12.7,12.6,https://journalsimpactfactors.com/journal.php?id=365
COMPUT VIS MEDIA,2096-0433,2096-0662,2024,18.3,17.8,https://journalsimpactfactors.com/journal.php?id=185
COORDIN CHEM REV,0010-8545,1873-3840,2024,23.5,22.4,https://journalsimpactfactors.com/journal.php?id=123
CRIT REV ENV SCI TEC,1064-3389,1547-6537,2024,13.2,13.1,https://journalsimpactfactors.com/journal.php?id=339
CURR OBES REP,2162-4968,2162-4968,2024,11.0,10.7,https://journalsimpactfactors.com/journal.php?id=478
CURR OPIN SOLID ST M,1359-0286,1879-0348,2024,13.4,13.3,https://journalsimpactfactors.com/journal.php?id=331
CYTOKINE GROWTH F R,1359-6101,1879-0305,2024,11.8,11.7,https://journalsimpactfactors.com/journal.php?id=423
DIABETES CARE,0149-5992,1935-5548,2024,16.6,16.1,https://journalsimpactfactors.com/journal.php?id=218
DRUG RESIST UPDATE,1368-7646,1532-2084,2024,21.7,20.6,https://journalsimpactfactors.com/journal.php?id=138
DRUGS,0012-6667,1179-1950,2024,14.4,14.3,https://journalsimpactfactors.com/journal.php?id=287
EARTH SYST SCI DATA,1866-3508,1866-3516,2024,11.6,11.2,https://journalsimpactfactors.com/journal.php?id=430
EDUC PSYCHOL-US,0046-1520,1532-6985,2024,11.4,10.9,https://journalsimpactfactors.com/journal.php?id=448
ELECTROCHEM ENERGY R,2520-8489,2520-8136,2024,36.3,35.7,https://journalsimpactfactors.com/journal.php?id=56
ELIGHT,2097-1710,2662-8643,2024,32.1,31.8,https://journalsimpactfactors.com/journal.php?id=73
ENDOCR PATHOL,1046-3976,1559-0097,2024,14.7,13.8,https://journalsimpactfactors.com/journal.php?id=276
ENDOCR REV,0163-769X,1945-7189,2024,22.0,21.8,https://journalsimpactfactors.com/journal.php?id=134
ENDOSCOPY,0013-726X,1438-8812,2024,12.8,10.6,https://journalsimpactfactors.com/journal.php?id=356
ENERG ECON,0140-9883,1873-6181,2024,14.2,12.3,https://journalsimpactfactors.com/journal.php?id=295
ENERG ENVIRON SCI,1754-5692,1754-5706,2024,30.8,29.6,https://journalsimpactfactors.com/journal.php?id=78
ENERGY MATER ADV,2097-1133,2692-7640,2024,15.9,15.1,https://journalsimpactfactors.com/journal.php?id=241
ENERGY STORAGE MATER,2405-8297,2405-8289,2024,20.2,18.8,https://journalsimpactfactors.com/journal.php?id=161
ENERGYCHEM,2589-7780,2589-7780,2024,23.8,23.7,https://journalsimpactfactors.com/journal.php?id=122
ENGINEERING-PRC,2095-8099,2096-0026,2024,11.6,11.2,https://journalsimpactfactors.com/journal.php?id=431
ENVIRON CHEM LETT,1610-3653,1610-3661,2024,20.4,19.5,https://journalsimpactfactors.com/journal.php?id=158
ENVIRON IMPACT ASSES,0195-9255,1873-6432,2024,11.2,9.7,https://journalsimpactfactors.com/journal.php?id=465
ENVIRON SCI ECOTECH,2666-4984,2666-4984,2024,14.3,14.0,https://journalsimpactfactors.com/journal.php?id=293
ENVIRON SCI TECHNOL,0013-936X,1520-5851,2024,11.3,10.2,https://journalsimpactfactors.com/journal.php?id=461
ESCIENCE,2097-2431,2667-1417,2024,36.6,35.9,https://journalsimpactfactors.com/journal.php?id=54
ETRANSPORTATION,2590-1168,2590-1168,2024,17.0,15.8,https://journalsimpactfactors.com/journal.php?id=213
EUR HEART J,0195-668X,1522-9645,2024,35.6,32.6,https://journalsimpactfactors.com/journal.php?id=58
EUR RESPIR J,0903-1936,1399-3003,2024,21.0,19.8,https://journalsimpactfactors.com/journal.php?id=147
EUR UROL,0302-2838,1873-7560,2024,25.2,24.6,https://journalsimpactfactors.com/journal.php?id=109
EXP MOL MED,1226-3613,2092-6413,2024,12.9,12.8,https://journalsimpactfactors.com/journal.php?id=355
EXPLORATION-PRC,2766-8509,2766-2098,2024,22.5,22.2,https://journalsimpactfactors.com/journal.php?id=128
FACTA UNIV-SER MECH,0354-2025,2335-0164,2024,11.8,11.5,https://journalsimpactfactors.com/journal.php?id=419
FEMS MICROBIOL REV,0168-6445,1574-6976,2024,12.3,12.2,https://journalsimpactfactors.com/journal.php?id=385
FOOD HYDROCOLLOID,0268-005X,1873-7137,2024,12.4,10.4,https://journalsimpactfactors.com/journal.php?id=380
FOUND TRENDS INF RET,1554-0669,1554-0677,2024,12.9,12.6,https://journalsimpactfactors.com/journal.php?id=353
FOUND TRENDS MACH LE,1935-8237,1935-8245,2024,25.4,25.2,https://journalsimpactfactors.com/journal.php?id=108
FUNGAL DIVERS,1560-2745,1878-9129,2024,24.8,22.1,https://journalsimpactfactors.com/journal.php?id=115
GASTROENTEROLOGY,0016-5085,1528-0012,2024,25.1,24.5,https://journalsimpactfactors.com/journal.php?id=111
GENOME MED,1756-994X,1756-994X,2024,11.2,11.0,https://journalsimpactfactors.com/journal.php?id=464
GLOBAL CHANGE BIOL,1354-1013,1365-2486,2024,12.0,11.4,https://journalsimpactfactors.com/journal.php?id=398
GREEN ENERGY ENVIRON,2096-2797,2468-0257,2024,14.6,13.7,https://journalsimpactfactors.com/journal.php?id=282
GREEN ENERGY INTELL,2097-2512,2773-1537,2024,16.4,15.6,https://journalsimpactfactors.com/journal.php?id=227
GUT,0017-5749,1468-3288,2024,25.8,25.0,https://journalsimpactfactors.com/journal.php?id=106
GUT MICROBES,1949-0976,1949-0984,2024,11.0,10.5,https://journalsimpactfactors.com/journal.php?id=477
HEPATOLOGY,0270-9139,1527-3350,2024,15.8,15.2,https://journalsimpactfactors.com/journal.php?id=242
HUM REPROD UPDATE,1355-4786,1460-2369,2024,16.1,15.8,https://journalsimpactfactors.com/journal.php?id=234
HUM RESOUR MANAGE R,1053-4822,1873-7889,2024,13.0,12.7,https://journalsimpactfactors.com/journal.php?id=351
IEEE COMPUT INTELL M,1556-603X,1556-6048,2024,11.2,11.1,https://journalsimpactfactors.com/journal.php?id=467
IEEE GEOSC REM SEN M,2473-2397,2168-6831,2024,16.4,15.5,https://journalsimpactfactors.com/journal.php?id=225
IEEE J SEL AREA COMM,0733-8716,1558-0008,2024,17.2,16.8,https://journalsimpactfactors.com/journal.php?id=207
IEEE J-STSP,1932-4553,1941-0484,2024,13.7,13.5,https://journalsimpactfactors.com/journal.php?id=314
IEEE REV BIOMED ENG,1937-3333,1941-1189,2024,12.0,11.9,https://journalsimpactfactors.com/journal.php?id=399
IEEE T CIRC SYST VID,1051-8215,1558-2205,2024,11.1,8.1,https://journalsimpactfactors.com/journal.php?id=472
IEEE T EVOLUT COMPUT,1089-778X,1941-0026,2024,12.0,10.9,https://journalsimpactfactors.com/journal.php?id=395
IEEE T FUZZY SYST,1063-6706,1941-0034,2024,11.9,9.8,https://journalsimpactfactors.com/journal.php?id=405
IEEE T IMAGE PROCESS,1057-7149,1941-0042,2024,13.7,12.8,https://journalsimpactfactors.com/journal.php?id=316
IEEE T INTELL VEHICL,2379-8858,2379-8904,2024,14.3,11.2,https://journalsimpactfactors.com/journal.php?id=289
IEEE T PATTERN ANAL,0162-8828,1939-3539,2024,18.6,18.0,https://journalsimpactfactors.com/journal.php?id=183
IEEE WIREL COMMUN,1536-1284,1558-0687,2024,11.5,11.1,https://journalsimpactfactors.com/journal.php?id=443
IEEE-CAA J AUTOMATIC,2329-9266,2329-9274,2024,19.2,17.6,https://journalsimpactfactors.com/journal.php?id=174
IMETA,2770-5986,2770-596X,2024,33.2,32.0,https://journalsimpactfactors.com/journal.php?id=65
IMMUNITY,1074-7613,1097-4180,2024,26.3,25.7,https://journalsimpactfactors.com/journal.php?id=101
IMPLEMENT SCI,1748-5908,1748-5908,2024,13.4,12.7,https://journalsimpactfactors.com/journal.php?id=327
IND CHEM MATER,2755-2608,2755-2500,2024,11.9,11.7,https://journalsimpactfactors.com/journal.php?id=413
INFORM FUSION,1566-2535,1872-6305,2024,15.5,13.9,https://journalsimpactfactors.com/journal.php?id=250
INNOVATION-AMSTERDAM,2666-6758,2666-6758,2024,25.7,24.6,https://journalsimpactfactors.com/journal.php?id=107
INT J EDUC TECHNOL H,2365-9440,2365-9440,2024,16.7,16.1,https://journalsimpactfactors.com/journal.php?id=216
INT J EXTREME MANUF,2631-8644,2631-7990,2024,21.3,18.8,https://journalsimpactfactors.com/journal.php?id=143
INT J INFORM MANAGE,0268-4012,1873-4707,2024,27.0,25.7,https://journalsimpactfactors.com/journal.php?id=92
INT J MACH TOOL MANU,0890-6955,1879-2170,2024,18.8,17.7,https://journalsimpactfactors.com/journal.php?id=181
INT J MIN SCI TECHNO,2095-2686,2212-6066,2024,13.7,12.7,https://journalsimpactfactors.com/journal.php?id=311
INT J ORAL SCI,1674-2818,2049-3169,2024,12.2,12.1,https://journalsimpactfactors.com/journal.php?id=386
INT J PLASTICITY,0749-6419,1879-2154,2024,12.8,9.4,https://journalsimpactfactors.com/journal.php?id=357
INT J TRANSGEND HEAL,2689-5269,2689-5277,2024,14.8,13.4,https://journalsimpactfactors.com/journal.php?id=272
INT MATER REV,0950-6608,1743-2804,2024,15.5,15.5,https://journalsimpactfactors.com/journal.php?id=253
INTENS CARE MED,0342-4642,1432-1238,2024,21.2,19.5,https://journalsimpactfactors.com/journal.php?id=144
INTERD MATER,2767-4401,2767-441X,2024,31.6,30.7,https://journalsimpactfactors.com/journal.php?id=74
INTERD MED,2832-6237,2832-6245,2024,13.6,13.2,https://journalsimpactfactors.com/journal.php?id=320
ISPRS J PHOTOGRAMM,0924-2716,1872-8235,2024,12.2,11.3,https://journalsimpactfactors.com/journal.php?id=388
J ADV CERAM,2226-4108,2227-8508,2024,16.6,15.1,https://journalsimpactfactors.com/journal.php?id=219
J ADV RES,2090-1232,2090-1224,2024,13.0,12.9,https://journalsimpactfactors.com/journal.php?id=349
J ALLERGY CLIN IMMUN,0091-6749,1097-6825,2024,11.2,10.3,https://journalsimpactfactors.com/journal.php?id=466
J AM ACAD DERMATOL,0190-9622,1097-6787,2024,11.8,11.2,https://journalsimpactfactors.com/journal.php?id=416
J AM CHEM SOC,0002-7863,1520-5126,2024,15.6,14.5,https://journalsimpactfactors.com/journal.php?id=247
J AM COLL CARDIOL,0735-1097,1558-3597,2024,22.3,21.3,https://journalsimpactfactors.com/journal.php?id=130
J BIOMED SCI,1021-7770,1423-0127,2024,12.1,12.0,https://journalsimpactfactors.com/journal.php?id=392
J BIORESOUR BIOPROD,2097-2415,2369-9698,2024,13.0,12.8,https://journalsimpactfactors.com/journal.php?id=347
J CLIN INVEST,0021-9738,1558-8238,2024,13.6,13.4,https://journalsimpactfactors.com/journal.php?id=319
J CLIN ONCOL,0732-183X,1527-7755,2024,41.9,41.1,https://journalsimpactfactors.com/journal.php?id=38
J CONTROL RELEASE,0168-3659,1873-4995,2024,11.5,10.9,https://journalsimpactfactors.com/journal.php?id=444
J ENERGY CHEM,2095-4956,2095-4956,2024,14.9,13.4,https://journalsimpactfactors.com/journal.php?id=268
J FINANC ECON,0304-405X,,2024,12.0,11.7,https://journalsimpactfactors.com/journal.php?id=394
J HAZARD MATER,0304-3894,1873-3336,2024,11.3,10.1,https://journalsimpactfactors.com/journal.php?id=459
J HEPATOL,0168-8278,1600-0641,2024,33.0,31.7,https://journalsimpactfactors.com/journal.php?id=67
J IND INF INTEGR,2467-964X,2452-414X,2024,11.6,10.5,https://journalsimpactfactors.com/journal.php?id=436
J INFECTION,0163-4453,1532-2742,2024,11.9,11.3,https://journalsimpactfactors.com/journal.php?id=409
J INNOV KNOWL,2530-7614,2444-569X,2024,15.5,14.4,https://journalsimpactfactors.com/journal.php?id=249
J MAGNES ALLOY,2213-9567,2213-9567,2024,13.8,12.0,https://journalsimpactfactors.com/journal.php?id=306
J MANUF SYST,0278-6125,1878-6642,2024,14.2,12.7,https://journalsimpactfactors.com/journal.php?id=297
J MATER SCI TECHNOL,1005-0302,1941-1162,2024,14.3,13.5,https://journalsimpactfactors.com/journal.php?id=291
J NATL COMPR CANC NE,1540-1405,1540-1413,2024,16.4,16.3,https://journalsimpactfactors.com/journal.php?id=226
J OCEAN ENG SCI,2468-0133,2468-0133,2024,11.8,10.8,https://journalsimpactfactors.com/journal.php?id=421
J PHOTOCH PHOTOBIO C,1389-5567,1873-2739,2024,13.1,13.1,https://journalsimpactfactors.com/journal.php?id=346
J RES INTERACT MARK,2040-7122,2040-7130,2024,11.6,9.4,https://journalsimpactfactors.com/journal.php?id=435
J RETAIL CONSUM SERV,0969-6989,1873-1384,2024,13.1,9.7,https://journalsimpactfactors.com/journal.php?id=341
J STRATEGIC INF SYST,0963-8687,1873-1198,2024,11.8,10.5,https://journalsimpactfactors.com/journal.php?id=422
J THORAC ONCOL,1556-0864,1556-1380,2024,20.8,20.1,https://journalsimpactfactors.com/journal.php?id=150
JACC-CARDIOONCOL,2666-0873,2666-0873,2024,12.8,11.4,https://journalsimpactfactors.com/journal.php?id=358
JACC-CARDIOVASC IMAG,1936-878X,1876-7591,2024,15.2,14.1,https://journalsimpactfactors.com/journal.php?id=260
JACC-CARDIOVASC INTE,1936-8798,1876-7605,2024,11.4,10.3,https://journalsimpactfactors.com/journal.php?id=447
JACC-HEART FAIL,2213-1779,2213-1787,2024,11.8,11.1,https://journalsimpactfactors.com/journal.php?id=418
JAMA CARDIOL,2380-6583,2380-6591,2024,14.1,13.7,https://journalsimpactfactors.com/journal.php?id=298
JAMA DERMATOL,2168-6068,2168-6084,2024,11.0,10.5,https://journalsimpactfactors.com/journal.php?id=474
